YOR028C	YLR247C
YBL025W	YJR087W
YDR404C	YJL070C
YBR249C	YER081W
YFL038C	YNL263C
YBR021W	YOR128C
YDL017W	YFR057W
YER172C	YPR082C
YFL018C	YIL125W
YMR308C	YHR199C
YMR314W	YFR010W
YIL035C	YJL008C
YDR224C	YOL054W
YGL008C	YHR030C
YOR116C	YDR045C
YBR109C	YNL202W
YJR045C	YPL140C
YDL126C	YER133W
YNL284C	YDR462W
YCR030C	YGL127C
YLR191W	YOL044W
YDR311W	YGR033C
YPR088C	YDL092W
YER022W	YNL282W
YCL032W	YMR117C
YLR340W	YNL064C
YGL178W	YDL160C
YBR106W	YLR034C
YPL227C	YGR060W
YOL004W	YDR169C
YHR118C	YML065W
YHR052W	YOR005C
YJR091C	YLR092W
YER173W	YBR087W
YDR414C	YLL023C
YGL070C	YGR005C
YJR117W	YNL101W
YBR254C	YDR472W
YJR079W	YMR047C
YPL240C	YDR394W
YFL038C	YLR078C
YBR196C	YOL128C
YER052C	YLR293C
YNR012W	YNL078W
YLR141W	YPL224C
YBR251W	YOL115W
YJL167W	YDR369C
YNL030W	YPL001W
YBR231C	YOL012C
YGR002C	YOR244W
YDR477W	YGL115W
YBR020W	YNL250W
YBR196C	YKL130C
YBR106W	YMR274C
